"From.id","From.OriginalRow","From.x","From.y","To.id","To.OriginalRow","To.x","To.y","BetaSim","Sorenson","MNTD"
"100",10723,4613717.8916199,-2077952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.042085884603364,1,5.17640396595134
"101",10903,4413717.8916199,-2325952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,5.70339032546091
"102",11116,15813717.8916199,-2573952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.253142829516624,1,4.43022008572635
"103",1902,-10286282.1083801,6602047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,5.44741086932383
"104",1901,-10386282.1083801,6602047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.37413799533353
"105",1900,-10486282.1083801,6602047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.58150157547213
"106",1753,-9186282.1083801,6726047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.98465202288024
"108",10989,4413717.8916199,-2449952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.253142829516624,1,5.31173109917776
"109",11079,4413717.8916199,-2573952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.174162114497638,1,5.99458300209097
"110",11171,4413717.8916199,-2697952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.174162114497638,1,6.13327958889092
"111",9131,13013717.8916199,30047.8480736502,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,5.29150262212918
"113",10055,14513717.8916199,-1085952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,5.99423567510352
"116",6288,-10386282.1083801,3130047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.547062843223128,1,5.90312231818203
"117",2362,-9586282.1083801,6230047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.53952708534841
"117",2363,-9486282.1083801,6230047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.53952708534841
"118",5988,12013717.8916199,3502047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.44180507607496
"12",727,9913717.8916199,7594047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,5.29150262212918
"120",11762,12913717.8916199,-3565952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0,0.75,4.33859722083358
"121",9959,15613717.8916199,-961952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.348472995896648,1,4.65939917645459
"122",9220,12113717.8916199,-93952.1519263498,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.22589696684078
"123",8277,12313717.8916199,1146047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.80362699711077
"124",8766,10013717.8916199,526047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,5.19668689316387
"125",9223,12713717.8916199,-93952.1519263498,"8",12052,12213717.8916199,-4185952.15192635,0.348472995896648,1,5.29191193227889
"126",9320,12313717.8916199,-217952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.348472995896648,1,4.41306761379997
