"","To.OriginalRow","From.OriginalRow","km","To.xcord","To.ycord","From.xcord","From.ycord","BetaSim","Sorenson","MNTD"
"1",163,1,11126.1571526117,-786282.108380102,8214047.84807365,-2386282.1083801,8710047.84807365,0,0.2,0.613457611805665
"2",163,2,12129.5470426397,-786282.108380102,8214047.84807365,-2286282.1083801,8710047.84807365,0,0.2,0.613457611805665
"3",163,3,10335.8061776762,-786282.108380102,8214047.84807365,-2186282.1083801,8710047.84807365,0,0.2,0.613457611805665
"4",163,4,8661.2955737935,-786282.108380102,8214047.84807365,-2086282.1083801,8710047.84807365,0,0.2,0.613457611805665
"5",163,5,10335.8061775612,-786282.108380102,8214047.84807365,-1986282.1083801,8710047.84807365,0,0.2,0.613457611805665
"6",457,1,9260.89492011109,-5086282.1083801,7718047.84807365,-2386282.1083801,8710047.84807365,0.283019879341117,0.5,2.00831130055702
"7",457,2,0.000134414476389852,-5086282.1083801,7718047.84807365,-2286282.1083801,8710047.84807365,0.283019879341117,0.5,2.00831130055702
"8",457,3,17610.727635608,-5086282.1083801,7718047.84807365,-2186282.1083801,8710047.84807365,0.283019879341117,0.5,2.00831130055702
"9",457,4,14776.6777241784,-5086282.1083801,7718047.84807365,-2086282.1083801,8710047.84807365,0.283019879341117,0.5,2.00831130055702
"10",457,5,17610.7276357249,-5086282.1083801,7718047.84807365,-1986282.1083801,8710047.84807365,0.283019879341117,0.5,2.00831130055702
"11",2760,1,13158.5810047498,-4186282.1083801,5982047.84807365,-2386282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"12",2760,2,13358.8645883251,-4186282.1083801,5982047.84807365,-2286282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"13",2760,3,4918.18289443511,-4186282.1083801,5982047.84807365,-2186282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"14",2760,4,4815.92591560498,-4186282.1083801,5982047.84807365,-2086282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"15",2760,5,4918.18289443787,-4186282.1083801,5982047.84807365,-1986282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"16",2929,1,12893.923364629,-4486282.1083801,5858047.84807365,-2386282.1083801,8710047.84807365,0.0542810195842561,1,3.27057070744514
