"","V1","rich"
"1",1,2
"2",2,2
"3",3,2
"4",4,2
"5",5,2
"6",7,2
"7",10,2
"8",12,2
"9",13,2
"10",20,2
"11",25,2
"12",26,2
"13",32,2
"14",38,2
"15",45,2
"16",46,2
"17",47,2
"18",60,2
"19",61,2
"20",70,2
"21",71,2
"22",72,2
"23",75,2
"24",76,2
"25",79,2
"26",82,2
"27",95,2
"28",96,2
"29",97,2
"30",98,2
"31",99,2
"32",100,2
"33",101,2
"34",102,2
"35",103,2
"36",104,2
"37",106,2
"38",107,2
"39",108,2
"40",112,2
"41",113,2
"42",114,2
"43",115,2
"44",116,2
"45",117,2
"46",121,2
"47",123,2
"48",124,2
"49",141,2
"50",143,2
"51",144,2
"52",145,2
"53",146,2
"54",147,2
"55",148,2
"56",149,2
"57",150,2
"58",151,2
"59",152,2
"60",153,2
"61",154,2
"62",155,2
"63",161,2
"64",191,2
"65",192,2
"66",203,2
"67",205,2
"68",234,2
"69",266,2
"70",268,2
"71",353,2
"72",354,2
"73",357,2
"74",457,2
"75",479,2
"76",480,2
"77",481,2
"78",482,2
"79",617,2
"80",618,2
"81",625,2
"82",626,2
"83",628,2
"84",727,2
"85",805,2
"86",806,2
"87",967,2
"88",969,2
"89",975,2
"90",976,2
"91",977,2
"92",978,2
"93",979,2
"94",1145,2
"95",1146,2
"96",1147,2
"97",1301,2
"98",1302,2
"99",1482,2
"100",1591,2
"101",1655,2
"102",1795,2
"103",1902,2
"104",2051,2
"105",2052,2
"106",2196,2
"107",2197,2
"108",2198,2
"109",2199,2
"110",3554,2
"111",5275,2
"112",5839,2
"113",6303,2
"114",6443,2
"115",6842,2
"116",7480,2
"117",7950,2
"118",7958,2
"119",7990,2
"120",8061,2
"121",8488,2
"122",8585,2
"123",8684,2
"124",8853,2
"125",9131,2
"126",9321,2
"127",9533,2
"128",9632,2
"129",9732,2
"130",9743,2
"131",9945,2
"132",10055,2
"133",10059,2
"134",10220,2
"135",10308,2
"136",10473,2
"137",10656,2
"138",10751,2
"139",10993,2
"140",10995,2
"141",11117,2
"142",11852,2
"143",12052,2
"144",12094,2
"145",12146,2
"146",12147,2
"147",12149,2
"148",12166,2
"149",12167,2
"150",12168,2
"151",12169,2
"152",62,3
"153",63,3
"154",105,3
"155",163,3
"156",179,3
"157",182,3
"158",196,3
"159",197,3
"160",256,3
"161",315,3
"162",316,3
"163",352,3
"164",361,3
"165",496,3
"166",497,3
"167",965,3
"168",1901,3
"169",2361,3
"170",2531,3
"171",2932,3
"172",3097,3
"173",3606,3
"174",6284,3
"175",6288,3
"176",6432,3
"177",7119,3
"178",7120,3
"179",7123,3
"180",7246,3
"181",7368,3
"182",7691,3
"183",7974,3
"184",8378,3
"185",8586,3
"186",8766,3
"187",8806,3
"188",8861,3
"189",9133,3
"190",9444,3
"191",9959,3
"192",10061,3
"193",10145,3
"194",10221,3
"195",10297,3
"196",10298,3
"197",10743,3
"198",10752,3
"199",10845,3
"200",10846,3
"201",10847,3
"202",10934,3
"203",11435,3
"204",11474,3
"205",11853,3
"206",11877,3
"207",11878,3
"208",11980,3
"209",11981,3
"210",11998,3
"211",12045,3
"212",12051,3
"213",12053,3
"214",12059,3
"215",12060,3
"216",12093,3
"217",12136,3
"218",12272,3
"219",12296,3
"220",22,4
"221",180,4
"222",181,4
"223",183,4
"224",239,4
"225",267,4
"226",271,4
"227",369,4
"228",564,4
"229",627,4
"230",726,4
"231",794,4
"232",795,4
"233",1079,4
"234",1138,4
"235",1480,4
"236",1643,4
"237",1900,4
"238",2098,4
"239",2356,4
"240",2362,4
"241",2363,4
"242",3436,4
"243",3439,4
"244",4557,4
"245",4641,4
"246",5230,4
"247",5988,4
"248",6011,4
"249",6012,4
"250",6855,4
"251",7244,4
"252",7245,4
"253",7250,4
"254",7367,4
"255",7861,4
"256",7874,4
"257",9070,4
"258",9223,4
"259",9941,4
"260",10062,4
"261",10147,4
"262",10222,4
"263",10561,4
"264",10654,4
"265",10753,4
"266",11302,4
"267",11473,4
"268",11943,4
"269",12001,4
"270",12019,4
"271",12082,4
"272",12088,4
"273",12108,4
"274",12165,4
"275",12228,4
"276",14,5
"277",21,5
"278",41,5
"279",64,5
"280",80,5
"281",81,5
"282",193,5
"283",194,5
"284",195,5
"285",210,5
"286",213,5
"287",238,5
"288",252,5
"289",253,5
"290",272,5
"291",274,5
"292",359,5
"293",473,5
"294",474,5
"295",483,5
"296",793,5
"297",956,5
"298",968,5
"299",1128,5
"300",1129,5
"301",1130,5
"302",1131,5
"303",1139,5
"304",1311,5
"305",1479,5
"306",1481,5
"307",1484,5
"308",1753,5
"309",3265,5
"310",4185,5
"311",5506,5
"312",6314,5
"313",6315,5
"314",6460,5
"315",6607,5
"316",6608,5
"317",6609,5
"318",6611,5
"319",6749,5
"320",6761,5
"321",6883,5
"322",6907,5
"323",7029,5
"324",7041,5
"325",7957,5
"326",8928,5
"327",9071,5
"328",9128,5
"329",9301,5
"330",9322,5
"331",9740,5
"332",9741,5
"333",9943,5
"334",10045,5
"335",10191,5
"336",10659,5
"337",10755,5
"338",10756,5
"339",10935,5
"340",10989,5
"341",10992,5
"342",11026,5
"343",11118,5
"344",11167,5
"345",11966,5
"346",12017,5
"347",12041,5
"348",12109,5
"349",12135,5
"350",12164,5
"351",12298,5
"352",6,6
"353",15,6
"354",16,6
"355",17,6
"356",18,6
"357",23,6
"358",24,6
"359",28,6
"360",29,6
"361",33,6
"362",35,6
"363",37,6
"364",42,6
"365",43,6
"366",44,6
"367",74,6
"368",122,6
"369",138,6
"370",162,6
"371",184,6
"372",185,6
"373",186,6
"374",187,6
"375",211,6
"376",212,6
"377",240,6
"378",241,6
"379",242,6
"380",246,6
"381",247,6
